"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
4327, 8.126213385562999e-01, 3.902151953464488e-01, 2.088987974601138e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.326187219189543e+00
4332, 9.179036861697121e-01, 2.745114006480727e-01, 2.090519051319090e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329471234667635e+00
4361, 4.295494122177611e-01, 4.950118328698183e-01, 2.085825785496054e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.319130956974557e+00
4364, 2.800304140559380e-01, 4.490137873825233e-01, 2.089999302359295e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.328261637118962e+00
4379, 2.695732701429121e-02, 1.619587278739119e-01, 2.112394081131725e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.377524198993752e+00
4393, 4.988171034494115e-03, -7.045061521537548e-02, 2.115443533573108e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.384236039804760e+00
4396, 7.445337291051624e-03, -8.596455225076349e-02, 2.115093420818495e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.383465367941459e+00
4411, 1.097847944595936e-01, -3.126213258321616e-01, 2.102568160251606e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.355898872297075e+00
4416, 2.387507267504527e-01, -4.263200877586975e-01, 2.092185437169252e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.333061370381508e+00
4437, 6.319027308749053e-01, -4.822879529780340e-01, 2.086364858720989e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.320415614782954e+00
4440, 7.056451101902421e-01, -4.557522228742755e-01, 2.087367106858050e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.322640459194733e+00
4444, 8.588536952942269e-01, -3.481724075421230e-01, 2.089662945342846e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.327644716333712e+00
4454, 9.418515413594475e-01, -2.340239632992324e-01, 2.090882163673577e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330241481272010e+00
4462, 8.802029990249465e-01, 3.247240051681373e-01, 2.089972157423723e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.328306400443370e+00
4470, 9.677220034538623e-01, 1.767374535436820e-01, 2.091304539483989e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331134319073765e+00
4471, 9.999383162329281e-01, 7.853659158936540e-03, 2.091914073817758e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332423846529743e+00
4476, 1.752759655023370e-01, 3.802029739751657e-01, 2.096589274026199e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.342746000946966e+00
4490, 5.078536721057679e-01, 4.999383160295428e-01, 2.085445543341412e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.318333198456656e+00
4502, 8.244813575387951e-01, -3.804101058197332e-01, 2.089156856473619e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.326554264094137e+00
4504, 7.198364916823130e-01, -4.490789651328733e-01, 2.087576881313641e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.323103276703093e+00
4513, 9.994449375347089e-01, -2.355322421560654e-02, 2.091903742692988e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332402029831275e+00
4523, 9.262607925310999e-01, -2.613460096323619e-01, 2.090644275052332e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329737523433876e+00
4542, 4.140358958068983e-01, -4.925547409073205e-01, 2.086027036476992e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.319565650251342e+00
